# Land cover attributes as area percentages based on the CORINE land cover database of the year 2000 by the European Copernicus Land Monitoring Service
gauge_id,crop_perc,grass_perc,scrub_perc,dwood_perc,mixed_wood_perc,ewood_perc,wetlands_perc,inwater_perc,ice_perc,loose_rock_perc,rock_perc,urban_perc,dom_land_cover
2086,1.27,26.63,0.07,9.67,2.62,21.83,10.46,0.35,0.74,9.17,15.96,1.21,grass_perc
2087,0.0,43.68,0.0,0.0,0.77,0.16,9.43,0.3,4.63,14.34,26.42,0.27,grass_perc
2088,1.26,42.44,1.24,2.09,16.73,21.5,1.67,3.82,0.0,5.46,2.32,1.47,grass_perc
2091,23.0,22.96,0.79,1.38,13.39,16.17,1.94,3.94,1.17,3.47,5.04,6.74,crop_perc
2093,1.24,35.63,1.06,0.57,7.37,15.93,2.48,3.46,9.44,4.96,15.66,2.2,grass_perc
2097,65.12,0.0,0.0,0.62,9.21,3.92,0.19,11.06,0.0,0.0,0.0,9.89,crop_perc
2099,10.75,29.53,0.48,0.57,13.16,15.86,3.05,6.09,1.06,4.49,7.47,7.49,grass_perc
2101,2.0,16.65,1.54,53.1,2.31,3.75,1.64,9.57,0.0,1.17,0.0,8.27,dwood_perc
2102,1.25,42.35,1.24,2.08,16.68,21.43,1.66,3.81,0.0,5.44,2.31,1.75,grass_perc
2104,1.25,36.06,0.0,0.96,11.35,15.92,4.95,2.74,2.17,7.62,14.89,2.1,grass_perc
2105,0.28,23.4,0.0,0.0,0.95,10.82,2.54,4.71,5.78,20.25,29.81,1.47,rock_perc
2106,26.36,16.24,0.38,4.44,43.55,2.22,0.0,0.0,0.0,0.09,0.0,6.73,mixed_wood_perc
2109,0.19,31.89,0.0,0.36,6.64,15.8,1.52,0.0,18.99,3.66,19.49,1.46,grass_perc
2110,6.92,31.83,0.77,0.76,11.8,15.06,3.88,4.47,2.88,5.73,11.63,4.27,grass_perc
2112,0.0,53.18,0.0,0.77,6.05,22.4,2.71,0.0,0.0,8.63,3.79,2.47,grass_perc
2113,26.28,20.51,0.81,1.2,14.48,14.15,1.55,4.24,1.93,2.52,5.22,7.12,crop_perc
2116,19.1,26.22,0.81,1.46,11.66,17.96,2.49,3.76,0.39,4.72,5.12,6.3,grass_perc
2117,1.58,17.77,0.0,0.0,1.05,6.96,5.07,0.91,27.37,8.19,30.47,0.64,rock_perc
2118,1.23,36.06,0.0,0.96,11.35,15.93,4.95,2.74,2.17,7.62,14.9,2.09,grass_perc
2119,20.11,35.29,0.55,0.24,8.8,22.92,1.14,0.94,0.27,2.71,2.99,4.06,grass_perc
2122,20.64,20.12,0.44,2.67,46.05,3.64,0.0,0.0,0.0,0.14,0.0,6.32,mixed_wood_perc
2125,25.46,18.91,0.46,0.0,13.39,12.82,0.29,17.45,0.0,0.24,0.0,10.98,crop_perc
2126,38.99,15.23,0.0,0.0,26.21,7.24,0.34,0.0,0.0,0.0,0.0,11.98,crop_perc
2130,22.88,23.12,0.8,1.34,13.23,16.15,1.97,3.98,1.19,3.52,5.11,6.71,grass_perc
2132,32.69,6.56,0.37,0.0,34.49,12.53,0.0,0.0,0.0,0.0,0.0,13.35,mixed_wood_perc
2135,8.12,32.31,1.02,0.59,7.43,16.66,2.21,2.91,7.87,4.32,13.07,3.48,grass_perc
2137,74.81,0.0,0.0,0.35,6.63,4.93,0.0,7.16,0.0,0.0,0.0,6.12,crop_perc
2139,29.63,22.8,0.0,1.59,12.5,15.83,1.34,0.0,0.0,1.64,0.39,14.27,crop_perc
2141,0.0,29.59,0.23,0.0,0.13,26.4,4.96,0.11,0.8,15.13,21.68,0.98,grass_perc
2143,18.34,27.07,0.81,1.15,11.56,16.85,2.69,4.01,0.42,5.09,5.54,6.47,grass_perc
2150,0.9,38.17,0.0,0.27,5.37,24.7,3.58,0.0,0.94,12.14,12.41,1.52,grass_perc
2151,0.0,54.03,3.48,0.0,0.86,24.02,1.85,0.0,2.91,3.3,8.59,0.96,grass_perc
2152,2.19,32.01,0.77,0.94,10.69,13.71,4.81,5.74,3.71,7.12,14.73,3.59,grass_perc
2154,45.64,6.36,0.84,2.04,18.7,11.3,0.43,9.28,0.0,0.05,0.0,5.36,crop_perc
2155,32.3,22.54,0.6,0.0,11.07,28.53,0.11,0.03,0.0,0.62,0.06,4.14,crop_perc
2157,73.65,0.0,0.0,0.0,8.24,0.64,0.0,0.0,0.0,0.0,0.0,17.47,crop_perc
2159,48.62,19.0,0.22,1.74,9.43,12.91,0.24,0.22,0.0,1.39,0.0,6.23,crop_perc
2160,1.92,48.91,0.34,0.24,7.38,26.2,1.99,0.4,0.54,4.12,5.8,2.17,grass_perc
2161,0.0,3.51,0.0,0.0,0.0,1.57,0.0,0.0,67.54,4.25,23.14,0.0,ice_perc
2167,2.52,11.06,1.02,55.82,1.61,3.13,2.16,8.16,0.0,0.71,0.0,13.81,dwood_perc
2168,62.26,0.0,2.94,0.0,4.02,4.98,0.0,19.09,0.0,0.0,0.0,6.72,crop_perc
2170,11.84,18.2,0.36,7.54,12.89,15.16,3.83,0.09,5.04,4.78,12.3,7.97,grass_perc
2174,10.44,16.64,1.63,3.79,7.61,16.26,2.64,5.87,7.98,5.75,14.63,6.77,grass_perc
2176,11.64,32.65,1.58,0.07,13.49,27.99,1.94,3.13,0.0,1.43,0.43,5.66,grass_perc
2179,29.18,30.73,1.04,0.08,11.86,23.08,0.0,0.13,0.0,2.36,0.0,1.54,grass_perc
2181,15.05,43.0,0.0,0.31,14.3,17.33,0.45,0.0,0.0,1.58,0.71,7.26,grass_perc
2185,0.0,44.66,0.0,0.0,0.85,31.62,1.2,0.0,0.0,7.12,13.03,1.52,grass_perc
2187,21.11,30.07,0.0,2.07,12.79,14.44,2.89,0.0,0.0,7.74,0.97,7.93,grass_perc
2199,10.23,20.12,0.83,10.9,32.8,18.87,0.0,0.0,0.0,0.0,0.0,6.25,mixed_wood_perc
2200,0.0,28.62,0.0,0.0,6.7,11.77,2.68,0.0,19.35,5.15,24.5,1.23,grass_perc
2202,37.23,7.72,1.24,7.93,35.52,0.35,0.0,0.0,0.0,0.0,0.0,10.02,crop_perc
2203,0.34,39.8,0.29,3.47,8.93,28.21,3.78,0.0,1.52,3.73,7.19,2.74,grass_perc
2205,26.12,20.67,0.81,1.14,14.38,14.23,1.56,4.25,1.95,2.54,5.26,7.09,crop_perc
2206,0.0,0.0,0.0,26.88,0.0,73.12,0.0,0.0,0.0,0.0,0.0,0.0,ewood_perc
2207,2.15,32.1,0.77,0.94,10.65,13.72,4.83,5.77,3.73,7.15,14.8,3.39,grass_perc
2208,27.72,20.96,0.91,1.2,13.57,14.64,1.11,4.78,2.85,2.09,5.13,5.03,crop_perc
2209,10.63,29.05,0.28,0.67,13.13,13.64,3.27,6.67,1.26,5.08,8.81,7.52,grass_perc
2210,23.65,25.78,1.03,2.9,10.54,28.81,2.13,0.74,0.0,0.12,0.0,4.3,ewood_perc
2215,28.43,29.91,0.69,0.2,9.82,20.4,0.78,0.88,0.19,2.29,2.04,4.38,grass_perc
2217,10.79,16.56,1.62,3.98,7.64,16.13,2.62,5.81,7.9,5.7,14.48,6.76,grass_perc
2219,0.0,9.27,0.0,0.0,0.0,11.08,1.51,0.0,27.6,8.52,42.03,0.0,rock_perc
2232,0.0,62.92,0.0,0.0,0.0,18.98,1.3,0.0,0.0,5.62,11.18,0.0,grass_perc
2239,0.69,26.29,5.13,0.0,0.0,15.56,3.44,1.44,0.14,10.79,36.06,0.46,rock_perc
2243,12.77,26.85,0.59,0.62,14.63,14.57,2.77,5.57,0.96,4.15,6.78,9.75,grass_perc
2244,0.0,52.03,0.0,0.0,0.0,0.0,6.14,0.0,0.0,16.6,25.24,0.0,grass_perc
2247,17.68,30.03,1.49,0.42,6.26,35.01,3.08,0.93,0.0,0.18,0.0,4.9,ewood_perc
2251,0.0,84.55,0.0,0.0,0.0,15.45,0.0,0.0,0.0,0.0,0.0,0.0,grass_perc
2252,0.0,53.27,0.0,0.0,0.0,46.73,0.0,0.0,0.0,0.0,0.0,0.0,grass_perc
2256,0.0,8.26,0.0,0.0,0.0,4.95,6.79,0.6,29.5,19.92,29.9,0.08,rock_perc
2262,0.0,12.94,0.0,0.0,0.0,4.92,7.33,0.0,18.1,20.77,35.85,0.09,rock_perc
2263,0.0,29.54,0.0,0.0,0.0,4.96,9.4,0.0,0.0,23.16,32.93,0.0,rock_perc
2265,0.16,22.22,0.96,0.0,0.15,16.16,5.29,0.82,3.96,17.72,31.68,0.89,rock_perc
2268,0.0,16.81,0.0,0.0,0.0,0.0,3.4,0.0,51.79,2.85,25.16,0.0,ice_perc
2269,0.0,15.02,0.0,0.0,0.0,4.79,2.09,0.0,37.18,6.03,34.89,0.0,ice_perc
2270,20.79,28.01,1.31,0.91,7.51,32.64,2.68,0.94,0.0,0.16,0.0,5.06,ewood_perc
2276,0.0,38.36,0.0,0.54,11.84,13.74,1.04,0.0,7.66,10.74,16.08,0.0,grass_perc
2282,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,ewood_perc
2283,0.0,21.97,0.0,0.0,2.52,75.51,0.0,0.0,0.0,0.0,0.0,0.0,ewood_perc
2288,13.87,29.29,0.9,1.3,9.86,18.01,3.25,4.81,0.52,6.12,6.79,5.27,grass_perc
2289,23.26,22.56,0.78,1.59,14.35,15.62,1.87,3.8,1.13,3.34,4.85,6.84,crop_perc
2290,34.17,18.59,0.0,0.38,10.82,34.93,0.0,0.52,0.0,0.0,0.0,0.59,ewood_perc
2299,0.0,15.36,0.0,0.0,2.75,0.0,11.95,0.0,23.34,10.31,36.31,0.0,rock_perc
2300,0.21,53.57,0.0,0.0,9.63,32.06,0.11,0.0,0.0,1.27,1.22,1.91,grass_perc
2303,0.13,54.64,0.0,0.34,17.75,20.55,0.44,0.0,0.0,1.96,0.97,3.23,grass_perc
2304,0.0,14.2,0.0,0.0,0.0,21.26,11.85,0.0,0.0,23.09,29.6,0.0,rock_perc
2305,0.0,52.23,0.0,0.0,14.32,7.59,0.0,0.0,0.0,0.0,0.0,25.86,grass_perc
2307,32.62,20.37,0.33,1.29,38.63,2.24,0.0,0.0,0.0,0.0,0.0,4.53,mixed_wood_perc
2308,3.61,49.32,0.0,0.0,13.69,19.67,0.0,0.0,0.0,0.0,0.0,13.72,grass_perc
2309,85.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.21,crop_perc
2312,69.89,0.0,0.0,0.0,13.7,3.68,0.0,0.0,0.0,0.0,0.0,12.73,crop_perc
2319,0.0,1.71,0.0,0.0,0.0,5.5,17.44,0.0,0.0,18.93,56.41,0.0,rock_perc
2321,0.6,15.42,0.0,67.33,0.37,1.34,3.63,0.0,0.0,0.06,0.0,11.26,dwood_perc
2327,0.0,32.97,0.0,0.0,0.9,2.1,7.5,0.0,1.34,23.48,31.71,0.0,grass_perc
2342,0.0,31.61,0.0,0.0,6.08,23.04,4.13,0.0,4.04,10.0,18.89,2.2,grass_perc
2343,78.94,0.0,0.12,0.0,1.94,14.06,0.0,0.0,0.0,0.0,0.0,4.93,crop_perc
2346,0.5,25.66,0.0,0.05,3.44,12.63,3.24,0.07,24.2,7.95,20.85,1.39,grass_perc
2347,0.0,7.64,0.0,16.34,0.0,27.56,33.15,0.0,0.0,15.31,0.0,0.0,wetlands_perc
2349,0.0,14.41,0.0,81.82,0.01,0.55,0.0,0.0,0.0,0.0,0.0,3.21,dwood_perc
2351,0.65,9.83,0.11,0.0,0.17,14.68,0.97,0.22,28.36,9.84,34.22,0.95,rock_perc
2352,0.0,22.66,0.0,0.92,4.2,5.02,6.33,1.18,11.73,8.34,39.62,0.0,rock_perc
2355,0.0,37.28,0.0,0.0,0.38,14.35,5.79,0.31,0.49,18.03,21.33,2.03,grass_perc
2356,0.0,19.09,0.0,2.97,11.69,5.84,4.54,0.0,0.0,15.87,40.0,0.0,rock_perc
2364,1.13,37.23,0.0,0.5,5.0,13.76,9.43,0.32,0.87,10.9,19.77,1.07,grass_perc
2366,0.0,25.38,0.0,0.0,0.0,7.42,24.12,0.0,0.0,37.23,5.85,0.0,loose_rock_perc
2368,1.34,15.13,2.04,25.39,15.98,12.95,6.61,0.24,0.47,9.47,9.18,1.21,dwood_perc
2369,68.57,0.0,0.37,0.54,23.94,3.73,0.0,0.0,0.0,0.0,0.0,2.85,crop_perc
2370,22.07,27.26,1.25,1.25,8.08,31.64,2.56,0.9,0.0,0.15,0.0,4.85,ewood_perc
2371,0.0,34.35,0.0,5.5,0.0,47.9,6.05,2.06,0.0,0.0,0.0,4.13,ewood_perc
2372,0.05,32.64,0.0,1.56,8.29,12.95,7.19,0.82,3.83,8.57,22.45,1.65,grass_perc
2374,0.0,58.48,0.0,0.0,14.51,25.35,0.0,0.0,0.0,0.0,0.0,1.65,grass_perc
2378,11.13,19.63,0.54,3.29,18.55,40.35,1.0,3.07,0.0,0.0,0.0,2.44,ewood_perc
2386,52.18,6.13,0.0,0.0,18.2,11.4,0.13,0.0,0.0,0.14,0.0,11.83,crop_perc
2387,0.0,36.05,0.08,0.1,0.26,21.91,4.67,0.45,1.04,14.24,20.43,0.76,grass_perc
2392,13.92,29.24,0.9,1.31,9.89,17.98,3.24,4.81,0.52,6.11,6.78,5.29,grass_perc
2403,0.06,23.04,0.0,0.0,0.32,12.2,4.85,1.15,7.04,19.53,30.23,1.58,rock_perc
2409,0.0,54.62,0.03,0.0,7.69,32.21,0.84,0.0,0.0,4.6,0.01,0.0,grass_perc
2410,21.76,15.87,0.0,4.36,24.17,13.45,0.96,0.11,0.0,3.06,0.97,15.3,mixed_wood_perc
2412,44.83,24.57,0.33,0.0,3.66,12.89,0.0,0.0,0.0,0.0,0.0,13.71,crop_perc
2414,0.0,77.51,0.0,0.0,22.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,grass_perc
2415,45.2,0.01,1.43,0.27,12.85,8.11,1.27,2.7,0.0,0.49,0.0,27.66,crop_perc
2416,74.82,0.0,0.0,0.35,6.62,4.93,0.0,7.15,0.0,0.0,0.0,6.14,crop_perc
2417,62.22,0.0,2.94,0.0,4.0,4.96,0.0,19.02,0.0,0.0,0.0,6.85,crop_perc
2418,0.0,38.88,0.0,0.0,0.11,18.91,2.51,0.42,0.24,17.62,20.87,0.43,grass_perc
2419,0.0,33.77,0.0,0.0,6.85,5.33,4.69,0.3,15.84,8.17,24.05,1.01,grass_perc
2420,1.61,13.74,0.05,11.73,4.01,34.66,8.46,0.07,0.16,10.2,14.13,1.19,ewood_perc
2426,0.0,47.2,0.0,0.76,5.8,19.38,3.93,0.0,0.0,10.71,11.86,0.35,grass_perc
2430,0.0,23.89,0.0,0.0,0.0,0.12,3.17,0.0,2.25,24.38,46.2,0.0,rock_perc
2432,59.54,2.36,0.93,5.79,23.48,1.95,0.0,0.0,0.0,0.24,0.0,5.71,crop_perc
2433,33.24,6.55,1.89,4.89,22.04,25.16,0.0,0.0,0.0,0.0,0.0,6.23,crop_perc
2434,22.19,19.22,0.13,11.36,34.47,1.27,0.0,0.0,0.0,0.17,0.0,11.19,mixed_wood_perc
2436,0.0,28.12,0.0,0.0,14.86,50.51,0.0,0.0,0.0,3.81,1.79,0.91,ewood_perc
2437,63.28,0.0,0.0,0.0,0.14,29.46,0.0,0.0,0.0,0.0,0.0,7.11,crop_perc
2446,45.8,6.33,0.84,2.04,18.67,11.23,0.43,9.22,0.0,0.05,0.0,5.39,crop_perc
2447,68.11,1.17,0.5,0.67,13.5,5.93,0.0,3.18,0.0,0.0,0.0,6.92,crop_perc
2450,61.95,5.17,0.99,0.18,11.36,14.29,0.0,0.23,0.0,0.0,0.0,5.84,crop_perc
2457,1.3,25.95,0.0,1.06,9.09,10.86,3.5,3.14,16.53,5.49,21.53,1.54,grass_perc
2458,47.1,9.5,0.0,0.0,31.06,7.72,0.0,0.0,0.0,0.0,0.0,4.62,crop_perc
2461,3.05,10.93,0.0,75.72,0.0,1.77,3.98,0.0,0.0,0.0,0.0,4.55,dwood_perc
2462,0.07,22.64,0.0,0.0,0.38,11.07,4.95,1.37,8.21,19.5,29.93,1.88,rock_perc
2463,0.0,0.0,0.0,55.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.16,dwood_perc
2467,28.85,29.6,0.73,0.2,9.93,20.2,0.77,0.87,0.18,2.27,2.02,4.37,grass_perc
2468,0.0,59.1,0.0,0.43,8.91,21.5,1.04,0.0,0.0,2.87,1.14,5.02,grass_perc
2469,1.19,40.64,1.15,0.0,4.43,15.58,1.11,0.26,6.8,6.28,20.87,1.67,grass_perc
2471,68.35,0.0,0.04,0.0,3.95,19.71,0.0,0.0,0.0,0.0,0.0,7.95,crop_perc
2473,2.92,34.32,0.12,0.91,5.35,23.04,5.08,0.4,0.98,11.13,12.79,2.97,grass_perc
2474,0.59,18.78,0.0,1.62,0.11,34.84,10.79,0.0,0.52,13.12,19.39,0.23,ewood_perc
2475,0.15,16.47,0.0,10.06,15.5,8.33,8.86,0.72,1.37,16.97,21.45,0.12,rock_perc
2477,23.77,24.49,0.37,0.0,13.2,24.27,0.0,7.24,0.0,0.45,0.0,6.21,grass_perc
2478,26.72,17.97,0.17,3.12,44.23,2.76,0.0,0.0,0.0,0.09,0.0,4.94,mixed_wood_perc
2480,34.34,14.25,0.74,2.2,22.18,24.11,0.0,0.14,0.0,0.04,0.0,2.0,crop_perc
2481,0.27,40.96,0.27,2.18,13.44,10.17,4.65,0.13,3.67,6.5,16.09,1.66,grass_perc
2484,13.18,41.01,1.08,0.0,17.97,17.96,0.27,4.15,0.0,0.01,0.0,4.37,grass_perc
2485,44.97,8.82,0.0,13.29,13.37,12.64,0.0,0.0,0.0,0.0,0.0,6.91,crop_perc
2486,20.82,26.9,1.97,0.0,17.32,27.64,0.0,0.0,0.0,0.0,0.0,5.36,ewood_perc
2487,0.54,49.49,0.64,0.18,17.78,25.05,1.42,0.0,0.0,1.9,1.7,1.29,grass_perc
2488,0.0,56.38,3.42,0.0,2.14,23.05,2.2,0.0,1.78,4.03,6.3,0.7,grass_perc
2490,31.03,17.36,0.92,16.07,6.22,12.82,0.1,0.0,0.0,1.83,0.0,13.66,crop_perc
2491,0.0,37.76,0.0,0.86,7.49,13.41,1.98,0.0,2.86,14.69,20.17,0.78,grass_perc
2493,20.9,14.45,1.48,7.35,8.43,41.19,0.0,0.0,0.0,0.0,0.0,6.2,ewood_perc
2494,1.85,26.89,0.0,7.71,3.24,26.11,9.35,0.59,0.41,8.43,13.49,1.92,grass_perc
2497,55.88,11.0,0.8,0.5,7.86,22.51,0.0,0.0,0.0,0.0,0.0,1.45,crop_perc
2498,0.0,46.46,0.15,0.82,1.56,17.51,5.26,0.32,2.02,11.04,14.59,0.27,grass_perc
2500,56.59,0.45,0.73,0.71,8.34,12.87,0.0,0.0,0.0,0.0,0.0,20.31,crop_perc
2602,0.63,36.64,0.1,0.15,1.13,22.27,5.65,0.38,1.37,12.2,18.5,0.99,grass_perc
2603,0.81,43.54,0.25,0.0,6.13,48.01,0.0,0.0,0.0,0.02,0.28,0.96,ewood_perc
2604,0.0,41.38,3.55,0.0,2.36,38.71,11.75,0.0,0.0,0.0,0.0,2.26,grass_perc
2605,0.0,21.42,0.0,28.35,3.95,10.17,12.51,0.0,0.0,12.89,10.73,0.0,dwood_perc
2606,9.01,16.44,1.86,2.43,6.43,16.99,2.44,7.49,9.05,6.2,15.81,5.85,ewood_perc
2607,0.0,19.15,0.0,0.0,3.71,2.26,9.46,0.0,9.72,9.45,46.25,0.0,rock_perc
2608,81.61,0.0,0.0,0.0,4.77,6.39,0.0,0.0,0.0,0.0,0.0,7.23,crop_perc
2609,0.17,37.52,4.52,0.0,9.63,40.86,0.11,0.0,0.0,1.84,0.0,5.34,ewood_perc
2610,18.95,25.44,0.0,8.96,44.91,0.0,0.0,0.0,0.0,0.0,0.0,1.74,mixed_wood_perc
2612,0.0,24.01,0.0,26.23,2.16,10.74,16.1,0.0,0.0,13.93,6.82,0.0,dwood_perc
2613,23.15,22.46,0.78,1.72,14.58,15.63,1.84,3.75,1.11,3.29,4.77,6.92,crop_perc
2615,23.31,22.51,0.78,1.6,14.36,15.59,1.87,3.79,1.12,3.33,4.84,6.89,crop_perc
2617,0.0,26.27,0.22,0.0,1.51,26.08,7.4,0.0,2.63,19.37,15.84,0.68,grass_perc
2620,0.42,14.15,0.0,2.24,2.75,18.21,7.43,0.71,10.19,15.32,28.29,0.3,rock_perc
2623,0.0,24.53,0.0,0.0,3.56,2.43,5.35,0.0,25.9,6.63,31.52,0.07,rock_perc
2629,1.07,10.69,0.0,60.15,0.65,3.16,6.88,0.0,0.0,0.8,0.0,16.58,dwood_perc
2630,10.76,12.17,6.21,0.0,0.0,22.52,1.51,0.0,0.0,11.86,19.31,15.67,ewood_perc
2631,0.0,26.08,0.0,0.0,0.0,0.0,7.8,0.0,17.96,12.53,35.62,0.0,rock_perc
2634,8.39,42.2,0.52,0.19,17.6,25.03,0.92,0.0,0.0,1.24,1.2,2.7,grass_perc
2635,0.0,18.56,19.45,0.0,0.05,61.94,0.0,0.0,0.0,0.0,0.0,0.0,ewood_perc
2640,32.82,15.7,0.0,2.18,40.8,4.0,0.0,0.0,0.0,0.0,0.0,4.5,mixed_wood_perc
2642,45.64,6.36,0.84,2.04,18.7,11.3,0.43,9.28,0.0,0.05,0.0,5.36,crop_perc
2644,0.24,22.78,0.0,0.0,0.84,15.26,2.24,4.57,5.1,19.05,27.33,2.58,rock_perc
3001,2.13,35.21,0.16,0.32,3.16,23.34,4.99,0.39,1.09,11.13,16.13,1.95,grass_perc
3002,23.03,7.63,0.0,7.63,20.74,5.5,1.36,0.98,0.0,0.0,0.0,33.13,urban_perc
3003,1.53,33.58,0.0,2.35,9.43,23.83,6.31,0.4,0.85,13.13,4.16,4.43,grass_perc
3004,10.73,8.89,0.0,5.57,26.95,8.53,1.01,0.0,0.0,0.0,0.0,38.31,urban_perc
3005,0.0,27.58,0.0,1.07,25.5,23.9,11.39,0.0,0.0,5.74,4.32,0.5,grass_perc
3006,2.94,34.32,0.12,0.91,5.34,23.03,5.08,0.41,0.98,11.13,12.78,2.97,grass_perc
3007,5.3,25.8,0.0,6.25,23.62,15.32,3.9,0.0,0.0,0.99,0.0,18.82,grass_perc
3008,0.0,12.11,0.0,4.79,25.54,46.94,0.45,0.0,0.0,0.0,0.0,10.17,ewood_perc
3009,1.18,34.95,0.0,2.05,7.73,23.74,6.33,0.46,0.95,14.36,4.43,3.82,grass_perc
