# Hydrological signatures calculated with simulation-based data. Only years with complete hydrological year are used (5% missing values are tolerated per hydrological year).
gauge_id,sign_start_date,sign_end_date,sign_number_of_years,q_mean,runoff_ratio,stream_elas,slope_fdc,baseflow_index_landson,hfd_mean,Q5,Q95,high_q_freq,high_q_dur,low_q_freq,low_q_dur,zero_q_freq
2032,1981-10-01,2020-09-30,39,2.744,0.695,1.231,1.74,0.686,224.051,0.85,6.46,0.385,1.25,2.026,5.643,0.0
2033,1981-10-01,2020-09-30,39,3.987,0.826,1.11,2.658,0.621,247.744,0.63,12.6,2.487,1.672,34.358,14.565,0.0
2034,1981-10-01,2020-09-30,39,1.985,0.558,1.714,2.28,0.523,136.513,0.21,6.618,5.026,1.867,47.871,17.449,0.0
2041,1981-10-01,2020-09-30,39,3.025,0.75,1.19,2.14,0.669,239.026,0.67,8.47,0.744,1.45,13.154,11.152,0.0
2043,1981-10-01,2020-09-30,39,2.669,0.687,1.251,1.712,0.689,222.795,0.84,6.22,0.385,1.25,1.82,5.462,0.0
2044,1981-10-01,2020-09-30,39,2.454,0.631,1.443,1.849,0.595,179.462,0.59,6.668,1.41,1.528,10.692,8.872,0.0
2053,1981-10-01,2020-09-30,39,3.431,0.829,0.967,3.367,0.678,265.0,0.46,9.898,0.128,1.25,47.409,12.752,0.0
2056,1981-10-01,2020-09-30,39,5.021,0.871,0.993,3.219,0.664,255.41,0.65,14.77,0.359,1.4,47.615,12.896,0.0
2063,1981-10-01,2020-09-30,39,2.474,0.654,1.238,1.376,0.727,202.41,0.95,5.29,0.103,1.0,0.641,5.0,0.0
2066,1981-10-01,2020-09-30,39,3.437,0.86,1.006,4.344,0.606,253.769,0.15,11.65,2.949,2.212,108.613,43.67,0.0
2067,1981-10-01,2020-09-30,39,2.832,0.83,0.952,3.704,0.656,258.359,0.37,8.92,2.231,1.977,66.255,31.133,0.0
2068,1981-10-01,2020-09-30,39,4.086,0.793,1.162,2.648,0.574,235.513,0.74,12.098,6.692,2.122,25.512,12.922,0.0
2070,1981-10-01,2020-09-30,39,2.102,0.593,1.343,1.608,0.639,177.256,0.622,5.49,1.282,1.852,4.564,9.368,0.0
2072,1981-10-01,2020-09-30,39,3.614,0.855,1.023,4.598,0.605,258.769,0.24,13.218,7.231,3.133,111.434,39.872,0.0
2073,1981-10-01,2020-09-30,39,3.564,0.876,0.998,4.496,0.608,254.667,0.16,12.198,3.333,2.203,110.921,43.26,0.0
2074,1981-10-01,2020-09-30,39,3.743,0.755,1.173,2.296,0.582,217.846,0.79,10.67,5.795,2.036,14.872,10.741,0.0
2078,1981-10-01,2020-09-30,39,3.888,0.806,1.052,3.428,0.648,253.949,0.59,11.558,3.231,1.881,47.717,18.61,0.0
2079,1981-10-01,2020-09-30,39,2.461,0.678,1.434,1.851,0.577,200.513,0.46,7.5,4.897,2.547,22.538,18.312,0.0
2081,1981-10-01,2020-09-30,39,2.082,0.561,1.555,1.452,0.639,165.846,0.55,5.59,1.128,1.467,8.564,15.905,0.0
2082,1981-10-01,2020-09-30,39,1.984,0.557,1.598,1.431,0.614,164.359,0.56,5.618,1.487,1.611,6.333,12.35,0.0
2084,1981-10-01,2020-09-30,39,3.754,0.756,1.206,2.053,0.626,224.026,0.97,9.968,1.154,1.5,7.308,7.5,0.0
2085,1981-10-01,2020-09-30,39,3.08,0.738,1.185,1.702,0.726,228.462,1.0,6.76,0.103,1.333,0.897,3.182,0.0
2086,1981-10-01,2020-09-30,39,4.237,0.81,1.135,2.534,0.569,235.821,0.76,13.228,6.769,2.129,27.025,13.868,0.0
2087,1981-10-01,2020-09-30,39,5.134,0.865,1.069,3.958,0.619,260.282,0.39,17.88,4.641,2.382,94.152,27.818,0.0
2088,1981-10-01,2020-09-30,39,3.155,0.717,1.077,2.295,0.606,210.769,0.73,8.35,1.051,1.64,12.487,8.397,0.0
2091,1981-10-01,2020-09-30,39,2.523,0.66,1.235,1.504,0.712,210.462,0.93,5.448,0.128,1.25,0.846,4.714,0.0
2093,1981-10-01,2020-09-30,39,3.979,0.836,0.946,2.44,0.724,245.821,0.96,9.4,0.103,1.333,7.641,7.842,0.0
2097,1981-10-01,2020-09-30,39,1.513,0.488,1.952,1.555,0.66,155.359,0.34,4.11,1.077,2.0,14.102,15.714,0.0
2099,1981-10-01,2020-09-30,39,3.308,0.722,1.344,1.779,0.666,222.385,1.0,8.09,0.538,1.4,3.359,8.188,0.0
2101,1981-10-01,2020-09-30,39,3.025,0.677,1.324,1.74,0.584,192.333,0.77,8.48,5.641,2.018,5.487,9.727,0.0
2102,1981-10-01,2020-09-30,39,3.153,0.717,1.076,2.295,0.606,210.744,0.73,8.34,1.051,1.64,12.436,8.362,0.0
2104,1981-10-01,2020-09-30,39,3.864,0.787,1.053,2.1,0.667,237.333,0.89,10.368,0.59,1.278,12.538,10.63,0.0
2105,1981-10-01,2020-09-30,39,3.511,0.869,0.996,4.522,0.606,255.051,0.15,12.05,3.641,2.185,111.844,44.061,0.0
2106,1981-10-01,2020-09-30,39,1.721,0.534,1.519,1.644,0.638,150.359,0.43,4.828,1.846,1.8,7.897,10.267,0.0
2109,1981-10-01,2020-09-30,39,5.041,0.987,0.813,3.364,0.714,261.026,0.84,13.38,0.077,1.5,33.871,11.901,0.0
2110,1981-10-01,2020-09-30,39,3.4,0.747,1.178,1.951,0.692,235.282,0.87,8.06,0.179,1.4,7.487,8.343,0.0
2112,1981-10-01,2020-09-30,39,4.214,0.778,1.245,2.165,0.571,205.949,0.82,11.99,1.308,1.457,19.512,9.633,0.0
2113,1981-10-01,2020-09-30,39,2.613,0.665,1.345,1.459,0.719,210.718,0.972,5.588,0.154,1.5,0.82,6.4,0.0
2116,1981-10-01,2020-09-30,39,2.462,0.659,1.274,1.625,0.691,211.718,0.83,5.538,0.282,1.571,1.385,6.0,0.0
2117,1981-10-01,2020-09-30,39,3.626,0.885,0.506,4.357,0.655,278.615,0.33,11.43,1.256,2.227,87.486,16.019,0.0
2118,1981-10-01,2020-09-30,39,3.864,0.787,1.053,2.1,0.667,237.333,0.89,10.37,0.59,1.278,12.538,10.63,0.0
2119,1981-10-01,2020-09-30,39,2.848,0.691,1.416,1.852,0.651,198.641,0.86,7.248,0.744,1.812,2.692,9.545,0.0
2122,1981-10-01,2020-09-30,39,1.725,0.547,1.534,1.377,0.712,156.718,0.54,4.368,1.0,1.95,1.667,10.833,0.0
2125,1981-10-01,2020-09-30,39,1.997,0.552,1.284,1.766,0.6,173.205,0.37,5.44,1.282,1.429,21.025,9.213,0.0
2126,1981-10-01,2020-09-30,39,2.019,0.568,1.605,1.751,0.563,155.846,0.34,6.35,2.359,1.769,26.871,13.266,0.0
2130,1981-10-01,2020-09-30,39,2.535,0.662,1.223,1.496,0.712,211.026,0.93,5.47,0.128,1.25,0.769,4.286,0.0
2132,1981-10-01,2020-09-30,39,1.841,0.521,1.814,1.615,0.604,159.282,0.42,5.46,2.026,1.717,12.846,11.651,0.0
2135,1981-10-01,2020-09-30,39,3.607,0.802,0.984,2.203,0.729,242.538,0.98,8.218,0.103,1.333,3.436,6.091,0.0
2137,1981-10-01,2020-09-30,39,1.639,0.518,1.796,1.581,0.628,155.923,0.33,4.71,1.128,2.0,18.23,16.159,0.0
2139,1981-10-01,2020-09-30,39,2.729,0.647,1.217,1.809,0.584,190.667,0.68,7.23,2.077,1.558,10.0,7.5,0.0
2141,1981-10-01,2020-09-30,39,2.387,0.737,1.137,2.155,0.649,241.513,0.45,7.26,1.615,1.909,21.718,18.021,0.0
2143,1981-10-01,2020-09-30,39,2.52,0.663,1.245,1.662,0.688,215.205,0.83,5.738,0.308,1.5,1.615,7.0,0.0
2150,1981-10-01,2020-09-30,39,2.705,0.74,1.184,2.023,0.674,231.462,0.54,7.64,0.308,1.2,18.718,15.532,0.0
2151,1981-10-01,2020-09-30,39,3.512,0.789,1.11,1.813,0.685,224.051,0.95,9.14,0.333,1.857,5.256,8.2,0.0
2152,1981-10-01,2020-09-30,39,3.774,0.779,1.089,2.159,0.689,240.667,0.87,9.408,0.179,1.4,11.513,9.354,0.0
2154,1981-10-01,2020-09-30,39,1.879,0.549,1.557,1.971,0.629,151.769,0.38,5.29,1.897,1.542,17.282,12.717,0.0
2155,1981-10-01,2020-09-30,39,1.91,0.559,1.542,1.312,0.693,170.385,0.67,4.64,0.846,1.435,1.0,9.75,0.0
2157,1981-10-01,2020-09-30,39,1.886,0.555,1.575,1.098,0.736,154.333,0.68,4.51,0.872,1.545,0.077,1.5,0.0
2159,1981-10-01,2020-09-30,39,1.983,0.584,1.563,1.446,0.669,179.897,0.59,4.908,0.744,1.526,5.154,10.05,0.0
2160,1981-10-01,2020-09-30,39,3.405,0.754,1.221,1.963,0.643,211.923,0.97,9.18,0.769,1.765,3.718,9.667,0.0
2161,1981-10-01,2020-09-30,39,5.893,1.119,-0.087,7.687,0.603,293.487,0.11,22.248,51.691,8.542,166.151,45.315,0.0
2167,1981-10-01,2020-09-30,39,3.169,0.69,1.443,1.806,0.555,188.41,0.73,9.198,6.872,2.144,9.41,9.41,0.0
2168,1981-10-01,2020-09-30,39,1.51,0.488,1.954,1.737,0.636,154.744,0.27,4.2,1.0,1.857,22.641,20.068,0.0
2170,1981-10-01,2020-09-30,39,3.1,0.765,1.126,1.575,0.699,211.231,1.0,6.808,0.179,1.4,1.256,4.083,0.0
2174,1981-10-01,2020-09-30,39,2.925,0.742,1.071,1.909,0.71,232.154,0.84,6.51,0.077,1.0,2.974,5.524,0.0
2176,1981-10-01,2020-09-30,39,3.021,0.685,1.393,1.86,0.596,194.949,0.76,8.03,1.872,1.352,8.949,7.426,0.0
2179,1981-10-01,2020-09-30,39,2.191,0.607,1.608,1.665,0.65,180.308,0.57,5.71,0.641,1.471,8.82,8.39,0.0
2181,1981-10-01,2020-09-30,39,3.024,0.687,1.389,2.051,0.57,186.641,0.7,8.23,1.897,1.542,12.872,8.367,0.0
2185,1981-10-01,2020-09-30,39,2.344,0.693,1.246,1.608,0.673,226.128,0.6,6.64,0.513,1.333,9.641,16.348,0.0
2187,1981-10-01,2020-09-30,39,2.677,0.666,1.204,1.982,0.623,207.103,0.66,6.92,0.974,1.52,9.974,9.725,0.0
2199,1981-10-01,2020-09-30,39,2.283,0.639,1.437,1.457,0.65,154.231,0.73,6.148,1.744,1.659,1.718,11.167,0.0
2200,1981-10-01,2020-09-30,39,5.203,1.023,0.911,3.702,0.702,264.513,0.75,14.826,0.128,1.25,49.05,17.55,0.0
2202,1981-10-01,2020-09-30,39,1.438,0.479,1.556,1.633,0.635,152.487,0.33,4.17,2.128,2.024,11.051,11.051,0.0
2203,1981-10-01,2020-09-30,39,3.236,0.737,1.213,1.774,0.647,208.769,0.94,8.67,0.744,1.706,3.436,7.882,0.0
2205,1981-10-01,2020-09-30,39,2.623,0.666,1.348,1.481,0.719,211.0,0.98,5.608,0.154,1.5,0.82,6.4,0.0
2206,1981-10-01,2020-09-30,39,3.507,0.753,1.192,1.613,0.513,201.949,0.71,11.73,10.128,2.484,17.82,16.163,0.0
2207,1981-10-01,2020-09-30,39,3.785,0.78,1.084,2.166,0.689,240.667,0.87,9.448,0.179,1.4,11.564,9.204,0.0
2208,1981-10-01,2020-09-30,39,2.62,0.675,1.253,1.457,0.721,208.308,0.96,5.66,0.103,1.0,0.82,6.4,0.0
2209,1981-10-01,2020-09-30,39,3.367,0.729,1.327,1.787,0.67,226.231,1.01,8.33,0.538,1.4,3.128,8.133,0.0
2210,1981-10-01,2020-09-30,39,2.478,0.658,1.347,1.669,0.617,149.846,0.63,6.81,2.154,1.714,6.102,10.348,0.0
2215,1981-10-01,2020-09-30,39,2.542,0.655,1.511,1.719,0.66,192.667,0.77,6.3,0.718,1.647,2.872,11.2,0.0
2217,1981-10-01,2020-09-30,39,2.918,0.741,1.082,1.9,0.71,231.615,0.84,6.47,0.077,1.0,2.923,5.7,0.0
2219,1981-10-01,2020-09-30,39,5.042,1.047,0.463,3.992,0.662,266.667,0.54,14.668,0.179,1.75,70.281,14.503,0.0
2232,1981-10-01,2020-09-30,39,3.662,0.798,1.158,2.127,0.646,231.41,0.66,11.758,2.513,3.062,22.512,20.419,0.0
2239,1981-10-01,2020-09-30,39,3.112,0.793,1.106,2.728,0.643,258.308,0.56,10.248,4.0,1.902,32.589,21.914,0.0
2243,1981-10-01,2020-09-30,39,3.157,0.708,1.349,1.749,0.67,220.128,0.99,7.59,0.487,1.462,2.692,6.562,0.0
2244,1981-10-01,2020-09-30,39,2.897,0.773,1.219,2.745,0.517,240.077,0.17,12.678,25.025,5.988,89.87,33.066,0.0
2247,1981-10-01,2020-09-30,39,2.549,0.673,1.348,1.735,0.606,149.564,0.63,7.08,2.564,1.724,6.59,9.885,0.0
2251,1981-10-01,2020-09-30,39,3.151,0.747,1.445,1.847,0.578,195.385,0.67,9.348,2.641,2.289,16.333,11.582,0.0
2252,1981-10-01,2020-09-30,39,2.95,0.714,1.475,1.781,0.571,195.077,0.6,8.878,3.308,2.633,18.128,9.819,0.0
2256,1981-10-01,2020-09-30,39,5.563,1.293,0.536,7.676,0.622,279.897,0.07,19.15,14.41,3.512,155.638,65.978,0.0
2262,1981-10-01,2020-09-30,39,4.894,1.028,0.735,6.067,0.631,275.795,0.25,16.278,7.743,2.876,138.613,57.511,0.0
2263,1981-10-01,2020-09-30,39,3.179,0.815,1.13,3.2,0.613,262.615,0.44,11.332,8.615,2.872,71.178,43.375,0.0
2265,1981-10-01,2020-09-30,39,3.045,0.849,0.988,3.974,0.65,260.154,0.36,9.77,2.59,1.98,78.922,33.097,0.0
2268,1981-10-01,2020-09-30,39,6.38,0.904,0.277,6.272,0.609,286.615,0.35,23.548,44.461,6.519,157.818,72.412,0.0
2269,1981-10-01,2020-09-30,39,4.976,0.988,0.583,5.265,0.654,278.667,0.29,15.93,3.282,2.723,120.331,34.763,0.0
2270,1981-10-01,2020-09-30,39,2.533,0.67,1.398,1.712,0.609,150.0,0.63,7.03,2.461,1.811,6.461,10.08,0.0
2276,1981-10-01,2020-09-30,39,4.242,0.892,0.9,3.18,0.683,251.513,0.63,11.86,0.231,1.8,38.82,15.608,0.0
2282,1981-10-01,2020-09-30,39,1.839,0.504,1.432,1.134,0.722,169.667,0.65,4.65,1.026,1.905,0.513,20.0,0.0
2283,1981-10-01,2020-09-30,39,2.571,0.685,1.228,1.025,0.702,175.538,1.1,6.218,0.769,1.875,0.0,0.0,0.0
2288,1981-10-01,2020-09-30,39,2.618,0.681,1.235,1.696,0.69,221.897,0.84,6.078,0.333,1.3,1.667,5.0,0.0
2289,1981-10-01,2020-09-30,39,2.489,0.656,1.213,1.495,0.712,209.077,0.92,5.358,0.128,1.25,0.795,4.429,0.0
2290,1981-10-01,2020-09-30,39,2.588,0.664,1.449,1.651,0.584,162.974,0.57,7.77,4.487,2.108,12.41,13.829,0.0
2299,1981-10-01,2020-09-30,39,6.592,1.023,0.707,5.265,0.632,271.487,0.25,21.36,1.897,2.242,120.536,20.987,0.0
2300,1981-10-01,2020-09-30,39,3.963,0.77,1.32,2.167,0.554,209.513,0.81,12.45,3.872,1.589,17.487,11.559,0.0
2303,1981-10-01,2020-09-30,39,3.129,0.7,1.385,2.249,0.566,190.385,0.7,8.63,2.179,1.491,13.487,9.069,0.0
2304,1981-10-01,2020-09-30,39,2.123,0.734,1.341,2.134,0.649,244.462,0.44,6.888,3.128,2.542,15.743,19.806,0.0
2305,1981-10-01,2020-09-30,39,3.025,0.692,1.514,2.122,0.512,178.949,0.54,8.94,3.846,1.724,23.051,8.901,0.0
2307,1981-10-01,2020-09-30,39,2.369,0.633,1.466,1.521,0.658,160.231,0.68,6.36,1.462,1.9,2.641,9.364,0.0
2308,1981-10-01,2020-09-30,39,2.717,0.636,1.712,2.041,0.528,185.308,0.61,8.278,4.769,1.738,13.333,7.879,0.0
2309,1981-10-01,2020-09-30,39,2.652,0.682,1.493,2.234,0.52,189.359,0.63,7.43,3.769,1.709,10.128,6.475,0.0
2312,1981-10-01,2020-09-30,39,1.536,0.499,1.72,1.855,0.579,155.744,0.25,4.7,1.718,1.971,29.128,12.764,0.0
2319,1981-10-01,2020-09-30,39,2.665,0.798,1.159,3.071,0.632,257.667,0.42,8.898,3.82,1.862,51.05,25.203,0.0
2321,1981-10-01,2020-09-30,39,3.006,0.685,1.31,1.637,0.561,190.667,0.75,8.76,7.026,2.228,6.256,9.037,0.0
2327,1981-10-01,2020-09-30,39,2.582,0.791,1.009,2.51,0.642,244.821,0.39,8.31,2.692,2.625,37.974,30.224,0.0
2342,1981-10-01,2020-09-30,39,2.693,0.785,1.122,2.089,0.637,231.538,0.47,8.24,1.487,1.812,24.0,11.848,0.0
2343,1981-10-01,2020-09-30,39,2.029,0.583,1.309,0.961,0.749,166.308,0.81,4.73,0.385,1.5,0.0,0.0,0.0
2346,1981-10-01,2020-09-30,39,4.11,0.895,0.781,4.496,0.663,267.769,0.34,12.03,0.308,2.0,90.563,21.277,0.0
2347,1981-10-01,2020-09-30,39,3.919,0.805,1.209,1.959,0.544,212.718,0.78,12.67,8.513,2.274,18.307,16.227,0.0
2349,1981-10-01,2020-09-30,39,3.564,0.746,1.351,1.905,0.511,183.282,0.67,10.668,9.308,2.241,22.153,12.896,0.0
2351,1981-10-01,2020-09-30,39,2.912,0.982,0.901,4.663,0.644,277.923,0.26,9.45,2.231,2.351,100.383,21.048,0.0
2352,1981-10-01,2020-09-30,39,5.098,0.882,0.798,3.087,0.678,257.949,0.83,14.99,0.487,1.357,32.23,13.967,0.0
2355,1981-10-01,2020-09-30,39,2.549,0.757,1.077,2.178,0.645,241.154,0.41,8.07,2.154,2.625,30.538,27.698,0.0
2356,1981-10-01,2020-09-30,39,4.426,0.843,1.093,3.123,0.551,249.538,0.48,16.538,16.128,3.083,76.127,21.057,0.0
2364,1981-10-01,2020-09-30,39,4.516,0.829,1.227,3.113,0.57,249.026,0.55,15.43,9.333,2.459,59.178,20.425,0.0
2366,1981-10-01,2020-09-30,39,4.584,0.832,1.13,2.758,0.561,249.077,0.59,18.328,18.641,4.178,77.691,47.344,0.0
2368,1981-10-01,2020-09-30,39,4.184,0.796,1.052,2.599,0.555,223.923,0.72,12.606,8.308,2.25,27.794,14.453,0.0
2369,1981-10-01,2020-09-30,39,1.596,0.506,1.607,1.858,0.609,135.462,0.26,5.17,2.667,2.167,28.205,28.947,0.0
2370,1981-10-01,2020-09-30,39,2.529,0.669,1.424,1.699,0.611,150.128,0.63,7.0,2.333,1.75,6.308,9.84,0.0
2371,1981-10-01,2020-09-30,39,4.397,0.748,1.411,2.19,0.562,170.385,0.88,13.358,4.179,1.852,17.82,10.373,0.0
2372,1981-10-01,2020-09-30,39,4.395,0.828,0.995,2.397,0.669,244.051,0.87,12.21,0.436,1.308,18.769,12.2,0.0
2374,1981-10-01,2020-09-30,39,3.042,0.684,1.391,2.404,0.528,181.897,0.61,8.928,3.667,1.744,17.846,9.039,0.0
2378,1981-10-01,2020-09-30,39,3.126,0.686,1.47,2.05,0.594,165.179,0.65,8.92,2.692,1.78,15.564,11.453,0.0
2386,1981-10-01,2020-09-30,39,1.716,0.528,1.649,1.62,0.605,154.026,0.35,5.14,1.615,1.909,17.615,12.962,0.0
2387,1981-10-01,2020-09-30,39,2.904,0.769,1.187,2.659,0.637,247.821,0.46,9.158,2.0,1.733,37.589,17.047,0.0
2392,1981-10-01,2020-09-30,39,2.615,0.681,1.234,1.685,0.691,221.872,0.84,6.068,0.333,1.3,1.667,5.0,0.0
2403,1981-10-01,2020-09-30,39,3.51,0.903,0.939,4.855,0.638,264.231,0.26,11.51,3.41,2.046,110.972,46.043,0.0
2409,1981-10-01,2020-09-30,39,2.522,0.669,1.491,2.03,0.588,186.974,0.57,6.938,1.205,1.679,12.82,8.621,0.0
2410,1981-10-01,2020-09-30,39,1.838,0.56,1.377,1.519,0.618,174.641,0.48,4.86,1.564,1.694,8.308,9.0,0.0
2412,1981-10-01,2020-09-30,39,2.268,0.607,1.831,2.159,0.54,152.59,0.34,6.82,4.205,1.726,32.333,11.676,0.0
2414,1981-10-01,2020-09-30,39,2.59,0.644,1.516,2.222,0.499,166.103,0.36,8.488,4.744,1.927,34.281,12.856,0.0
2415,1981-10-01,2020-09-30,39,1.737,0.529,1.782,1.364,0.646,159.872,0.51,4.77,1.256,1.815,4.744,9.737,0.0
2416,1981-10-01,2020-09-30,39,1.638,0.517,1.798,1.581,0.629,155.923,0.322,4.71,1.103,2.048,18.282,16.581,0.0
2417,1981-10-01,2020-09-30,39,1.511,0.488,1.953,1.726,0.636,154.692,0.27,4.208,1.0,1.857,22.538,19.977,0.0
2418,1981-10-01,2020-09-30,39,2.837,0.765,1.242,2.98,0.592,247.0,0.26,9.77,4.667,2.459,72.717,28.646,0.0
2419,1981-10-01,2020-09-30,39,4.547,0.859,0.933,4.418,0.644,264.077,0.33,14.998,1.923,1.974,102.203,37.962,0.0
2420,1981-10-01,2020-09-30,39,4.031,0.793,1.18,2.558,0.598,237.615,0.81,11.61,5.308,2.029,17.795,14.163,0.0
2426,1981-10-01,2020-09-30,39,3.503,0.771,1.342,2.222,0.613,233.41,0.6,11.07,1.795,1.892,26.102,12.725,0.0
2430,1981-10-01,2020-09-30,39,4.924,0.918,0.961,3.48,0.579,257.821,0.52,18.348,9.513,2.728,84.409,22.094,0.0
2432,1981-10-01,2020-09-30,39,2.003,0.564,1.566,2.146,0.617,142.103,0.31,5.898,1.641,1.684,32.256,19.061,0.0
2433,1981-10-01,2020-09-30,39,3.256,0.675,1.538,2.262,0.588,160.026,0.47,9.366,2.41,1.741,35.589,18.757,0.0
2434,1981-10-01,2020-09-30,39,2.007,0.573,1.562,1.339,0.66,157.795,0.62,5.47,1.513,1.844,2.897,10.273,0.0
2436,1981-10-01,2020-09-30,39,2.335,0.664,1.248,2.325,0.554,202.026,0.37,7.516,4.436,2.084,28.641,10.538,0.0
2437,1981-10-01,2020-09-30,39,2.205,0.58,1.775,2.777,0.463,132.359,0.13,7.878,8.923,2.245,71.435,17.633,0.001
2446,1981-10-01,2020-09-30,39,1.875,0.549,1.555,1.955,0.629,151.744,0.38,5.28,1.872,1.553,17.359,12.774,0.0
2447,1981-10-01,2020-09-30,39,1.687,0.517,1.677,2.022,0.572,137.872,0.24,5.358,3.282,1.753,33.435,19.463,0.0
2450,1981-10-01,2020-09-30,39,1.719,0.539,1.514,1.201,0.699,158.256,0.54,4.42,0.795,2.067,2.744,15.286,0.0
2457,1981-10-01,2020-09-30,39,4.906,0.908,0.747,3.06,0.71,259.077,0.88,12.59,0.077,1.5,26.589,10.475,0.0
2458,1981-10-01,2020-09-30,39,2.059,0.598,1.621,1.7,0.636,156.487,0.48,5.878,2.051,1.818,9.872,16.739,0.0
2461,1981-10-01,2020-09-30,39,3.444,0.707,1.419,2.089,0.508,191.923,0.63,10.75,9.102,2.383,23.871,12.581,0.0
2462,1981-10-01,2020-09-30,39,3.648,0.92,0.884,5.117,0.638,265.436,0.23,11.908,3.256,2.048,115.408,43.699,0.0
2463,1981-10-01,2020-09-30,39,2.881,0.631,1.559,1.912,0.497,178.231,0.44,9.1,9.333,2.545,36.563,16.022,0.0
2467,1981-10-01,2020-09-30,39,2.527,0.654,1.51,1.728,0.661,192.615,0.77,6.26,0.692,1.688,2.897,11.3,0.0
2468,1981-10-01,2020-09-30,39,3.63,0.727,1.352,2.109,0.552,189.282,0.782,10.388,2.077,1.397,15.487,9.587,0.0
2469,1981-10-01,2020-09-30,39,3.679,0.823,0.922,2.22,0.723,242.667,0.98,8.95,0.179,1.4,3.897,6.909,0.0
2471,1981-10-01,2020-09-30,39,1.808,0.546,1.417,1.013,0.754,162.436,0.71,4.17,0.41,1.6,0.0,0.0,0.0
2473,1981-10-01,2020-09-30,39,3.018,0.748,1.194,2.11,0.67,238.462,0.69,8.37,0.744,1.45,12.077,10.953,0.0
2474,1981-10-01,2020-09-30,39,4.507,0.825,1.099,3.037,0.601,248.59,0.7,13.828,5.615,1.991,40.82,13.492,0.0
2475,1981-10-01,2020-09-30,39,4.369,0.825,1.06,2.858,0.582,243.923,0.652,13.62,6.897,2.118,42.563,15.514,0.0
2477,1981-10-01,2020-09-30,39,2.23,0.589,1.696,1.907,0.561,175.436,0.39,6.39,2.154,1.714,24.128,9.701,0.0
2478,1981-10-01,2020-09-30,39,1.678,0.533,1.6,1.517,0.679,152.231,0.47,4.508,1.205,2.043,4.41,13.231,0.0
